Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets
N I L B Ê R A;@nilber_f;2022-09-28T00:55:44.000Z;Neymar cobrando penalti é mais frio que o coração dela;;;
Gio ❦;@Giohr__;2022-09-28T00:55:38.000Z;Neymar tava com o colar “”, como eu queria cobertura completa desse after;;;
Leo Santos;@Zitwo19;2022-09-28T00:55:36.000Z;"Em resposta a 
@roque_mn
Eu também achei! Foi uma falta pesada, mas longe de ser uma agressão. Amarelo tava de bom tamanho. E sou fã boy do Neymar hein ";;;
Isinha furacão;@isabelydcosta;2022-09-28T00:55:33.000Z;Não sou nenhum Neymar, mas tu pode vir pra cá porque eu tô cheio de saudade do que nem vivemos ainda;;;
Aff mano... bom dia;@eaeerendriu;2022-09-28T00:55:30.000Z;"Em resposta a 
@zlatansincero
130 participação em gols em 121 jogos. NEYMAR APENAS";;;
Sou Palmeiras;@SouSEPalmeiras;2022-09-28T00:55:26.000Z;"Casagrande faz alerta para a seleção: Me preocupo com o foco do Neymar
uol.com.br
Casagrande faz alerta para a seleção: Me preocupo com o foco do Neymar
A seleção brasileira goleou a Tunísia hoje (27) por 5 a 1, em P
1";;;1
Ezequiel;@Eze10meneses;2022-09-28T00:55:15.000Z;"Este neymar , es el mejor del mundo .
SA
@Neymologyy
 · 
8 h
Let down.
Mostrar esta sequência";;;
— 𝖎𝖆𝖍𝖓 | ??;@iahncrf_;2022-09-28T00:55:14.000Z;"Neymar Júnior é o JOGADOR que mais merece a taça da Copa do Mundo.
Sincerão
@zlatansincero
 · 
29 min
Muito brabo pensar que o Neymar tem sido pros jovens o que ele nunca teve na seleção: um cara pra o direcionar e dividir as responsabilidades. Há mais de uma década ele carregou esse fardo sozinho e agora vem passando de forma mais leve pra mulekada.";;;
¹⁸⁹⁸crvg;@AstakunC;2022-09-28T00:55:10.000Z;"Em resposta a 
@TNTSportsBR
Tenho uma teoria acho que o Everton Ribeiro está sendo convocado só para o Neymar pegar desconto pra tirar a calvície.";;;
in selena we trust;@flywithbia;2022-09-28T00:55:09.000Z;"Em resposta a 
@menesesmarcoss
saudade quando seu twitter se resumia a falar de mumiyumii e neymar";;;
Andrade;@Jean_Andrade13;2022-09-28T00:55:07.000Z;Sentindo que o hexa vem nessa copa, o brilho no olho do Neymar, ele não ficava assim nem quando namorava a Marquezine;;;
ThePressBot;@the_press_bot;2022-09-28T00:55:07.000Z;"#news EN DIRECT - Brésil-Tunisie: avec un Raphinha et Neymar de gala, la Seleçao l'emporte largement sur les Aigles de Carthage - RMC Sport
rmcsport.bfmtv.com
EN DIRECT - Brésil-Tunisie: les supporters tunisiens mettent l'ambiance au Parc des Princes
Parmi les favoris pour la Coupe du monde 2022, le Brésil de Neymar va disputer ce mardi (à 20h30) un match amical contre la Tunisie de Khazri au Parc des Princes. Ces derniers figurent d'ailleurs...";;;
Dbrun0;@Dbrun082;2022-09-28T00:55:04.000Z;"Em resposta a 
@JanaDahoui
Logo para namoradinha do Neymar que fazia surubão em Noronha....";;;
gusta;@ilusion1x;2022-09-28T00:55:04.000Z;"Em resposta a 
@rios_kkj
 @foraacademia
 e 
@fvckmyego
mas e se o neymar pedisse pra ter um filho com vc";;;
